idx,		seq1_1,		seq1_2,		seq1_3,		seq2_1,		seq2_2,		seq2_3
1,			1,			  20,			  25,			  21,			  2,			  49
2,			3,			  22,			  26,			  23,			  4,			  50
3,			5,			  24,			  27,			  28,			  6,			  51
4,			7,			  29,			  52,			  30,			  8,			  55
5,			9,			  31,			  53,			  32,			  10,			  56
6,			11,			  33,			  54,			  34,			  12,			  57
7,			13,			  35,			  58,			  36,			  14,			  72
8,			15,			  37,			  59,			  38,			  16,			  73
9,			17,			  39,			  60,			  40,			  18,			  74
10,			19,			  41,			  61,			  42,			  62,			  75
11,			43,			  63,			  76,			  64,			  44,			  89
12,			45,			  65,			  77,			  66,			  46,			  90
13,			47,			  67,			  78,			  68,			  48,			  91
14,			69,			  79,			  92,			  80,			  70,			  97
15,			71,			  81,			  93,			  82,			  94,			  98
16,			83,			  95,			  99,			  96,			  84,			  114
17,			85,			  100,			115,			101,			86,			  131
18,			87,			  102,			116,			103,			88,			  132
19,			104,			117,			133,			118,			105,			170
20,			106,			119,			134,			120,			107,			171
21,			108,			121,			135,			122,			109,			172
22,			110,			123,			136,			124,			111,			173
23,			112,			125,			137,			126,			113,			174
24,			127,			138,			175,			139,			128,			1
25,			129,			140,			176,			141,			130,			2
26,			142,			177,			3,			  178,			143,			20
27,			144,			179,			4,			  180,			145,			21
28,			146,			181,			5,			  182,			147,			22
29,			148,			183,			6,			  184,			149,			23
30,			150,			185,			7,			  186,			151,			24
31,			152,			187,			8,			  188,			153,			25
32,			154,			189,			9,			  190,			155,			26
33,			156,			191,			10,			  192,			157,			27
34,			158,			193,			11,			  194,			159,			28
35,			160,			195,			12,			  196,			161,			29
36,			162,			197,			13,			  198,			163,			30
37,			164,			199,			14,			  200,			165,			31
38,			166,			201,			15,			  202,			167,			32
39,			168,			203,			16,			  204,			169,			33
40,			205,			17,			  34,			  18,			  206,			49
41,			207,			19,			  35,			  36,			  208,			50
42,			209,			37,			  51,			  38,			  210,			55
43,			211,			39,			  52,			  40,			  212,			56
44,			213,			41,			  53,			  42,			  214,			57
45,			215,			43,			  54,			  44,			  216,			58
46,			217,			45,			  59,			  46,			  218,			72
47,			219,			47,			  60,			  48,			  220,			73
48,			221,			61,			  74,			  62,			  222,			75
49,			223,			63,			  76,			  64,			  224,			89
50,			225,			65,			  77,			  66,			  226,			90
51,			227,			67,			  78,			  68,			  228,			91
52,			229,			69,			  79,			  70,			  230,			92
53,			231,			71,			  80,			  81,			  232,			93
54,			233,			82,			  94,			  83,			  234,			97
55,			235,			84,			  95,			  85,			  236,			98
56,			86,			  96,			  99,			  100,			87,			  114
57,			88,			  101,			115,			102,			116,			131
58,			103,			117,			132,			118,			104,			170
59,			105,			119,			133,			120,			106,			171
60,			107,			121,			134,			122,			108,			172
61,			109,			123,			135,			124,			110,			173
62,			111,			125,			136,			126,			112,			174
63,			113,			127,			137,			128,			138,			175
64,			129,			139,			176,			140,			130,			1
65,			141,			177,			2,			  178,			142,			20
66,			143,			179,			3,			  180,			144,			21
67,			145,			181,			4,			  182,			146,			22
68,			147,			183,			5,			  184,			148,			23
69,			149,			185,			6,			  186,			150,			24
70,			151,			187,			7,			  188,			152,			25
71,			153,			189,			8,			  190,			154,			26
72,			155,			191,			9,			  192,			156,			27
73,			157,			193,			10,			  194,			158,			28
74,			159,			195,			11,			  196,			160,			29
75,			161,			197,			12,			  198,			162,			30
76,			163,			199,			13,			  200,			164,			31
77,			165,			201,			14,			  202,			166,			32
78,			167,			203,			15,			  204,			168,			33
79,			169,			205,			16,			  206,			17,			  34
80,			207,			18,			  35,			  19,			  208,			49
81,			209,			36,			  50,			  37,			  210,			55
82,			211,			38,			  51,			  39,			  212,			56
83,			213,			40,			  52,			  41,			  214,			57
84,			215,			42,			  53,			  43,			  216,			58
85,			217,			44,			  54,			  45,			  218,			59
86,			219,			46,			  60,			  47,			  220,			72
87,			221,			48,			  61,			  62,			  222,			73
88,			223,			63,			  74,			  64,			  224,			75
89,			225,			65,			  76,			  66,			  226,			89
90,			227,			67,			  77,			  68,			  228,			90
91,			229,			69,			  78,			  70,			  230,			91
92,			231,			71,			  79,			  80,			  232,			92
93,			233,			81,			  93,			  82,			  234,			97
94,			235,			83,			  94,			  84,			  236,			98
95,			85,			  95,			  99,			  96,			  86,			  131
97,			102,			116,			132,			117,			103,			170
98,			104,			118,			133,			119,			105,			171
99,			106,			120,			134,			121,			107,			172
100,		108,			122,			135,			123,			109,			173